search_year,registry_id,fac_name,fac_city,fac_zip,fac_lat,fac_long,population_density,ozone_non_attainment,pm_non_attainment,lead_non_attainment,so2_non_attainment,naics_codes,air_source_classification,caa_evaluation_count,tri_tox_label,tri_tox,tri_units,tri_tox_rsei,tri_twpe_units,nei_tox_label,nei_tox,nei_units,nei_tox_rsei,nei_twpe_units,tri_cap_label,tri_cap,tri_cap_units,tri_cap_rsei,tri_twpe_cap_units,nei_cap_label,nei_cap,nei_cap_units,nei_cap_rsei,nei_twpe_cap_units,tri_hap_label,tri_hap,tri_hap_units,tri_hap_rsei,nei_hap_label,nei_hap,nei_hap_units,nei_hap_rsei,nei_twpe_hap_units,ghg_column_label,ghg_emission,ghg_units,nei_ghg_column_label,nei_ghg_emission,nei_ghg_units,camd_so2_label,camd_so2,camd_nox_label,camd_nox,camd_co2_label,camd_co2,camd_units,operating_status,formal_count,informal_count,total_actions,hpv_count,frv_count,AIR_OPERATING_STATUS_DESC,AIR_POLLUTANT_CLASS_DESC
2015,110000336994,SCHUYLKILL RIVER TANK FARM,PHILADELPHIA,19145,39.9147,-75.2005,13254.58,Y,Y,N,N,238910|324110|424710|488119,Major Emissions,4.0,2015 TRI Air Toxics,422393.04,Pounds,2789520323.82,TWPE,2014 NEI Air Toxics,279942.38018884946,Pounds,4654820307.301692,TWPE,2015 TRI Criteria Pollutants,10012.0,Pounds,1063328.0,TWPE,2014 NEI Criteria Pollutants,13123678.886052,Pounds,221656.376,TWPE,2015 TRI HAPs,265980.04,Pounds,2357792931.98,2014 NEI HAPs,271773.0434768495,Pounds,4649121142.925692,TWPE,2015 GHG EMISSIONS,3110036.696,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,Operating,3.0,6.0,9.0,1.0,2.0,Operating,Major Emissions
2015,110017421654,PHILADELPHIA NAVAL SHIPYARD,PHILADELPHIA,19112,39.89307,-75.178223,6792.41,N,N,N,N,331314|331423|336611|928110,,,2015 TRI Air Toxics,23096.0,Pounds,1358685000.0,TWPE,2014 NEI Air Toxics,143.64492874,Pounds,3439433.806783528,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,67971.80809876,Pounds,1418.96384,TWPE,2015 TRI HAPs,1426.0,Pounds,1326180000.0,2014 NEI HAPs,143.58323466,Pounds,3438014.842943528,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,,0.0,0.0,0.0,0.0,0.0,,
2015,110040928253,PHILLY SHIPYARD INC / PHILA,PHILADELPHIA,19112,39.890134,-75.191412,5424.05,Y,Y,N,N,336611,,,2015 TRI Air Toxics,142077.34,Pounds,44142510.0,TWPE,2014 NEI Air Toxics,90564.61408468,Pounds,312329397.6407046,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,275733.10181552,Pounds,5105.85896,TWPE,2015 TRI HAPs,142077.34,Pounds,44142510.0,2014 NEI HAPs,90532.84979516,Pounds,312324291.7817446,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,,0.0,0.0,0.0,0.0,0.0,,
2015,110038495768,ADVANSIX (FORMERLY HONEYWELL/FRANKFORD PLT),PHILADELPHIA,19137,40.005901,-75.072103,11387.31,Y,Y,N,N,325110|325192|325194|325199,Major Emissions,2.0,2015 TRI Air Toxics,143105.6,Pounds,24275219.34,TWPE,2014 NEI Air Toxics,148538.63469542,Pounds,174802722.6207368,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,1540268.56105714,Pounds,592857.91422,TWPE,2015 TRI HAPs,137168.6,Pounds,20475539.34,2014 NEI HAPs,140327.03363828,Pounds,174209864.7065168,TWPE,2015 GHG EMISSIONS,153432.77,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,Operating,0.0,2.0,2.0,0.0,1.0,Operating,Major Emissions
2015,110000337047,ASHLAND CHEMICAL,PHILADELPHIA,19148,39.909557,-75.130454,9481.77,Y,Y,N,N,325211|326199,80% Synthetic Minor Emissions|Minor Emissions,2.0,2015 TRI Air Toxics,9567.0,Pounds,17772695.0,TWPE,2014 NEI Air Toxics,0.0,Pounds,0.0,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2015 TRI HAPs,8411.0,Pounds,5004695.0,2014 NEI HAPs,0.0,Pounds,0.0,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,Operating,0.0,0.0,0.0,0.0,0.0,Operating,Minor Emissions
2015,110001053573,KINGSBURY COMPANY,PHILADELPHIA,19154,40.08328,-74.99569,5288.48,Y,Y,N,N,332811|333613,Minor Emissions,1.0,2015 TRI Air Toxics,15.0,Pounds,4657501.7,TWPE,2014 NEI Air Toxics,0.0,Pounds,0.0,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2015 TRI HAPs,10.0,Pounds,4650001.7,2014 NEI HAPs,0.0,Pounds,0.0,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,Operating,0.0,0.0,0.0,0.0,0.0,Operating,Minor Emissions
2015,110000336609,SANDMEYER STEEL CO,PHILADELPHIA,19116,40.10972,-75.034785,3257.69,Y,Y,N,N,332313|423510,,,2015 TRI Air Toxics,10.0,Pounds,2826000.92,TWPE,2014 NEI Air Toxics,12.0,Pounds,9288000.0,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2015 TRI HAPs,10.0,Pounds,2826000.92,2014 NEI HAPs,12.0,Pounds,9288000.0,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,,0.0,0.0,0.0,0.0,0.0,,
2015,110000336663,NATIONAL CHEMICAL LABORATORIES INC,PHILADELPHIA,19123,39.95914,-75.15507,20750.74,Y,Y,N,N,325611|325612|424690,No Classification In ICIS,1.0,2015 TRI Air Toxics,891.0,Pounds,160380.0,TWPE,2014 NEI Air Toxics,0.0,Pounds,0.0,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2015 TRI HAPs,891.0,Pounds,160380.0,2014 NEI HAPs,0.0,Pounds,0.0,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,No Operating Status In ICIS,0.0,0.0,0.0,0.0,0.0,,
2015,110000336592,ARDEX LABORATORIES INC,PHILADELPHIA,19116,40.11019,-75.00313,3517.56,Y,Y,N,N,323122|325611|325612,Minor Emissions,1.0,2015 TRI Air Toxics,1151.0,Pounds,60518.22,TWPE,2014 NEI Air Toxics,13820.6,Pounds,2752.0,TWPE,2015 TRI Criteria Pollutants,0.0,Pounds,0.0,TWPE,2014 NEI Criteria Pollutants,37573.04,Pounds,25.2,TWPE,2015 TRI HAPs,1151.0,Pounds,60518.22,2014 NEI HAPs,13820.0,Pounds,2726.8,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,Operating,0.0,0.0,0.0,0.0,0.0,Operating,Minor Emissions
2015,110000336903,TANNER INDS  INC,PHILADELPHIA,19135,40.010278,-75.055556,9429.49,Y,Y,N,N,424690,,1.0,2015 TRI Air Toxics,1038.0,Pounds,43596.0,TWPE,2014 NEI Air Toxics,716.0,Pounds,30072.0,TWPE,2015 TRI Criteria Pollutants,1038.0,Pounds,43596.0,TWPE,2014 NEI Criteria Pollutants,716.0,Pounds,30072.0,TWPE,2015 TRI HAPs,0.0,Pounds,0.0,2014 NEI HAPs,0.0,Pounds,0.0,TWPE,2015 GHG EMISSIONS,0.0,MTCO2e,2014 NEI GHG EMISSIONS,0.0,Pounds,2015 CAMD SO2,0,2015 CAMD NOx,0,2015 CAMD CO2,0,Pounds,,0.0,0.0,0.0,0.0,0.0,,
